30 30
14 0  18 1  18 1  18 1  16 0  15 0  14 0  18 1  18 1  18 1  26 1   0 1   0 1   0 1   0 1   0 1   7 0   6 0   6 0   6 0   6 0   6 0   6 0   5 0   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  25 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   1 0   2 0   3 0   0 1
18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  26 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   8 0   9 0   4 0   0 1
18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  25 1   0 1   0 1   0 1   0 1   0 1   1 0   2 0   2 0   3 0   0 1   0 1   0 1   0 1   0 1   7 0   6 0   5 0   0 1
18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  26 1   0 1   0 1   0 1   0 1   8 0   9 0   9 0   4 0   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  19 1   0 1   0 1   0 1   0 1   0 1   7 0   6 0   6 0   5 0   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  18 1  19 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1  18 1  18 1   9 0  18 1  18 1  18 1  18 1  18 1  26 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1  18 1   9 0   9 0  18 1  18 1  18 1  18 1  19 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1  18 1   9 0   9 0  18 1  18 1  18 1  18 1  26 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1   9 0   9 0   9 0  18 1  18 1  18 1  18 1  26 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1   9 0   9 0   9 0   9 0  18 1  18 1  18 1  26 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1  18 1   9 0   9 0   9 0   9 0  18 1  19 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1  18 1  18 1  18 1   9 0   9 0  18 1  26 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1  18 1  18 1  18 1   9 0  18 1  18 1  25 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1  18 1  18 1   9 0   9 0  18 1  18 1  18 1  25 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1  24 1  24 1  24 1   0 1   0 1   0 1   0 1   0 1
18 1  18 1  18 1   9 0   9 0  18 1  18 1  18 1  18 1  18 1  26 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1   0 1  22 1  18 1  18 1  18 1   0 1   0 1   0 1   0 1   0 1
